,profile_linkedin_id,rank_order,similarity_degree,user_url
53,ACoAAABXYc8BA5NM2GPEeoMDMhHPXmB4Js_Oq6A,53,1.0,https://www.linkedin.com/in/carminemux
15,ACoAAAAY4oQBK4mqqYQJH9dwxA_Se5ZI8y0Gu98,15,0.8246658948435555,https://www.linkedin.com/in/coreybernardo
14,ACoAAAAXkg4BQR151pMXDUW1PNggIRGyhOmVGBs,14,0.7683760112757738,https://www.linkedin.com/in/dianelee
37,ACoAAAJd7hgBRMv338JtgU1tgaVBoHtoCc3Cy3Y,37,1.467378124898934,https://www.linkedin.com/in/stephaneleduc
69,ACoAAALUomEBIC0olD9BhSrrLOhD3mYKJ2Ct240,69,1.3880351015109094,https://www.linkedin.com/in/mckennakevin
30,ACoAAAB118IBx6LNy_c2riQubDGpYdVW18a3-6E,30,1.38242767545174,https://www.linkedin.com/in/patrykadamczyk
28,ACoAAAAh-xgBdUWjpq2_2Ik9tz7j1ps-bs9ccC4,28,1.3782213765472155,https://www.linkedin.com/in/njdixon
45,ACoAAAQlQl8BNK92PBdIvsfS4ygj4pEOdum3Z-8,45,1.373734529735645,https://www.linkedin.com/in/james-szollosy
33,ACoAAAJd7hgBRMv338JtgU1tgaVBoHtoCc3Cy3Y,33,1.3648058648925065,https://www.linkedin.com/in/stephaneleduc
63,ACoAAALUomEBIC0olD9BhSrrLOhD3mYKJ2Ct240,63,1.3566843733469218,https://www.linkedin.com/in/mckennakevin
47,ACoAAAB118IBx6LNy_c2riQubDGpYdVW18a3-6E,47,1.3541884563135964,https://www.linkedin.com/in/patrykadamczyk
44,ACoAAAAh-xgBdUWjpq2_2Ik9tz7j1ps-bs9ccC4,44,1.3528027381888537,https://www.linkedin.com/in/njdixon
3,ACoAAAQlQl8BNK92PBdIvsfS4ygj4pEOdum3Z-8,3,1.35049675760383,https://www.linkedin.com/in/james-szollosy
29,ACoAAAFgSxwBlmV79zH-qnlF-PiN5x3gA3BccFs,29,1.335222198799068,https://www.linkedin.com/in/nicolasgilbert
58,ACoAAAAy79sBHdZnhEDFfbyi82TNzqFtYME-gwc,58,1.333382326709214,https://www.linkedin.com/in/danielponech
83,ACoAAADerOUBmqY88npkdJcxAGLB6Y89LDsrRU8,83,1.3292729609861205,https://www.linkedin.com/in/vijiram-krishnan
